修正検討ワード,表記揃えワード,要検討ワード,要検討ワードの注記
ロードアイランド,ロードアイランド州,ところ,所（場所）、ところ（場合）
中南米,中央・南アメリカ,のほう,～のほう（比較）、～の方（方角）
生け花スポンジ,生け花用スポンジ,あける,（間を）空ける、（あなを）開ける
アメリカ,アメリカ合衆国,中でも,なかでも（※文頭の場合はヒラク）
避妊去勢手術,避妊・去勢手術,もの物,使い分け（明らかに物体を指す場合のみトジル）
不妊去勢手術,避妊・去勢手術,草はら,草はら（くさはら）草原（そうげん）使い分け
キッチンペーパー,ペーパータオル,あし,（人の）足、（動物の）あし
,豚熱ワクチン,いう,言う（発言）、いう（伝聞）
凝縮,ぎょうしゅく,言う,言う（発言）、いう（伝聞）
大丈夫,だいじょうぶ,の方,～のほう（比較）、～の方（方角）
北海道から九州,北海道～九州,もつ,（手に）持つ、（特徴を）もつ
,二酸化炭素,もた,（手に）持つ、（特徴を）もつ
珍,めずらしい,もち,（手に）持つ、（特徴を）もつ
状態,じょうたい,もて,（手に）持つ、（特徴を）もつ
慎重,しんちょう,もっ,（手に）持つ、（特徴を）もつ
緑豆,リョクトウ,もと,（手に）持つ、（特徴を）もつ
南米,南アメリカ,持つ,（手に）持つ、（特徴を）もつ
圧倒的,あっとう的,持た,（手に）持つ、（特徴を）もつ
蛋白質,たんぱく質,持ち,（手に）持つ、（特徴を）もつ
は虫類,はちゅう類,持て,（手に）持つ、（特徴を）もつ
圧倒てき,あっとう的,持っ,（手に）持つ、（特徴を）もつ
ガラス越し,ガラスごし,持と,（手に）持つ、（特徴を）もつ
ひっくりかえ,ひっくり返,あと,～後
ミールワーム,ミルワーム,いく,行く※goの意味の場合
,うず巻き,おく,置く※putの意味
,すりばち,かた,〇〇方※howtoの意味。
,亜生殖板,かわ,（植物などの）皮
,一生懸命,乾燥,かんそう（乾燥○○（エビ、イトミミズなど）はトジル）
,海綿動物,撮る,「（写真を）撮る」
,巻きひげ,とる,取る（一般的な使い方）
,江戸時代,なる,　「（音が）なる」→「鳴る」
,針葉樹林,上る,使い分け（一般的には上るを使用。木に登る場合のみ登る）
,単為生殖,登る,使い分け（一般的には上るを使用。木に登る場合のみ登る）
,注射済票,ワタ,使い分け（植物名としてはカタカナ）
,直射日光,草原,草はら（くさはら）草原（そうげん）使い分け
,途切れる,乾燥,乾燥〇〇
,棘皮動物,所,所（場所）、ところ（場合）
尿,おしっこ,羽,羽（鳥）、はね（昆虫）
輝,かがやく,え,（植物などの）柄
涼,すずしい,物,使い分け（明らかに物体を指す場合のみトジル）
紫,むらさき,綿,使い分け（植物名としてはカタカナ）
憧れ,あこがれ,度,〇℃（※気温の場合。角度は度）
扱う,あつかう,粉,〇〇粉
現れ,あらわれ,状,〇〇状
勢い,いきおい,性,〇〇性
一番,いちばん,製,〇〇製
一緒,いっしょ,非,非〇〇
煙幕,えんまく,枚,〇枚
確認,かくにん,膜,〇膜
確認,かくにん,眼,（カブトムシの）眼
確率,かくりつ,翌,翌〇
隠れ,かくれる,割,〇割
簡単,かんたん,症,〇〇症
台所,キッチン,済,〇〇済
攻撃,こうげき,,
痕跡,こんせき,,
再現,さいげん,,
様々,さまざま,,
上手,じょうず,,
存在,そんざい,,
透明,とうめい,,
特徴,特ちょう,,
途中,とちゅう,,
粘液,ねんえき,,
離れ,はなれる,,
全く,まったく,,
魅力,みりょく,,
難し,むずかし,,
綿棒,めんぼう,,
手袋,手ぶくろ,,
し切る,～しきる,,
あがる,～上がる,,
甘える,あまえる,,
片づけ,かたづけ,,
比べる,くらべる,,
湿り気,しめり気,,
捕まえ,つかまえ,,
ねん液,ねんえき,,
の様な,のような,,
ビニル,ビニール,,
雰囲気,ふんい気,,
まどべ,まどぎわ,,
みそ汁,みそしる,,
よじ登,よじのぼ,,
後あし,後ろあし,,
取り除,取りのぞ,,
当たりの,あたりの,,
生き生き,いきいき,,
うえつけ,植えつけ,,
植え付け,植えつけ,,
かくれ家,かくれが,,
しめりけ,しめり気,,
素晴らし,すばらし,,
連れて行,つれてい,,
比かく的,ひかく的,,
やって来,やってく,,
引き寄せ,引きよせ,,
ひっこめ,引っこめ,,
とまり木,止まり木,,
とりかえ,取りかえ,,
でっぱり,出っぱり,,
でっぱる,出っぱる,,
植え替え,植えかえ,,
待ち伏せ,待ちぶせ,,
かわりに,代わりに,,
陽当たり,日当たり,,
おちつく,落ち着く,,
しつづける,～し続け,,
きんしびん,菌糸びん,,
こうようじゅりん,広葉樹林,,
しんようじゅりん,針葉樹林,,
たんいせいしょく,単為生殖,,
なんたいどうぶつ,軟体動物,,
ちょくしゃにっこう,直射日光,,
,かわか,,
,かわき,,
,かわけ,,
,できた,,
,把握器,,
,フナ尾,,
,亜熱帯,,
,一般的,,
,円筒形,,
,可能性,,
,街路樹,,
,学術的,,
,褐虫藻,,
,寒冷紗,,
,巻き毛,,
,換毛期,,
,休耕田,,
,狂犬病,,
,禁じる,,
,鶏ふん,,
,甲殻類,,
,荒らす,,
,降水量,,
,婚姻色,,
,砂ばく,,
,再利用,,
,最小限,,
,殺処分,,
,紫外線,,
,鹿沼土,,
,煮込み,,
,受精卵,,
,獣医師,,
,純血種,,
,人為的,,
,生活圏,,
,生殖器,,
,接する,,
,設ける,,
,舌状花,,
,扇風機,,
,洗面器,,
,染色液,,
,鮮魚店,,
,素焼き,,
,総苞片,,
,草木灰,,
,脱脂綿,,
,断続的,,
,中和剤,,
,駐車場,,
,通気性,,
,適応力,,
,筒状花,,
,頭突き,,
,二枚貝,,
,日除け,,
,乳酸菌,,
,背負う,,
,発情期,,
,比重計,,
,尾びれ,,
,微生物,,
,必需品,,
,不規則,,
,腐葉土,,
,弁当箱,,
,保護猫,,
,保水性,,
,保冷剤,,
,盲導犬,,
,誘惑腺,,
,預かる,,
,留守番,,
,冷蔵庫,,
,裂肉歯,,
,老廃物,,
薄,うすい,,
移,うつる,,
乾,かわく,,
蛹,さなぎ,,
熟,じゅく,,
姿,すがた,,
匂,におい,,
測,はかる,,
量,はかる,,
瞳,ひとみ,,
袋,ふくろ,,
混,まぜる,,
私,わたし,,
足元,足もと,,
足場,あし場,,
預け,あずけ,,
与え,あたえ,,
厚い,あつい,,
甘い,あまい,,
荒ら,あらす,,
傷め,いため,,
依頼,いらい,,
海藻,海そう,,
大人,おとな,,
お腹,おなか,,
及び,および,,
貝殻,貝がら,,
限る,かぎる,,
確保,かくほ,,
硬く,かたく,,
固く,かたく,,
距離,きょり,,
工夫,くふう,,
肛門,こう門,,
異な,ことな,,
次第,しだい,,
実に,じつに,,
実は,じつは,,
砂利,じゃり,,
親戚,親せき,,
隙間,すき間,,
素早,すばや,,
全て,すべて,,
座る,すわる,,
石膏,石こう,,
狭い,せまい,,
掃除,そうじ,,
備え,そなえ,,
大豆,ダイズ,,
堆肥,たい肥,,
作ら,つくら,,
作り,つくり,,
作る,つくる,,
作れ,つくれ,,
作ろ,つくろ,,
釣針,つり針,,
釣針,つり針,,
出来,できる,,
閉じ,とじる,,
仲間,なかま,,
並べ,ならべ,,
苦味,にがみ,,
眠る,ねむる,,
根元,根もと,,
軒下,のき下,,
伸び,のびる,,
黴菌,ばい菌,,
日陰,日かげ,,
秘密,ひみつ,,
服装,服そう,,
含む,ふくむ,,
負担,ふたん,,
普段,ふだん,,
普通,ふつう,,
帽子,ぼうし,,
捕獲,ほかく,,
水槽,水そう,,
乱す,みだす,,
迎え,むかえ,,
潜る,もぐる,,
模様,もよう,,
様子,ようす,,
汚れ,よごれ,,
鱗粉,りん粉,,
脇芽,わき芽,,
活躍,活やく,,
間隔,間かく,,
岸壁,岸ぺき,,
砂漠,砂ばく,,
時々,時どき,,
精悍,精かん,,
青々,青あお,,
草原,草はら,,
入口,入り口,,
どおり,～通り,,
あま味,あまみ,,
上手い,うまい,,
上手く,うまく,,
押さえ,おさえ,,
雄しべ,おしべ,,
朽ち木,くち木,,
ケンカ,けんか,,
仕掛け,しかけ,,
しあう,し合う,,
すきま,すき間,,
過ごす,すごす,,
たいひ,たい肥,,
トサカ,とさか,,
トレイ,トレー,,
なか間,なかま,,
ニボシ,にぼし,,
ハサミ,はさみ,,
ひかげ,日かげ,,
引っぱ,ひっぱ,,
冬越し,冬ごし,,
真っ赤,まっ赤,,
真っ暗,まっ暗,,
真っ白,まっ白,,
真ん中,まん中,,
雌しべ,めしべ,,
引き抜,引きぬ,,
ほし草,干し草,,
まもな,間もな,,
気にい,気に入,,
おこる,起こる,,
見分け,見わけ,,
見はり,見張り,,
あわせ,合わせ,,
とまる,止まる,,
でっぱ,出っぱ,,
であう,出会う,,
であう,出合う,,
切り取,切りと,,
あてる,当てる,,
いれる,入れる,,
飛び散,飛びち,,
とび出,飛び出,,
きかな,聞かな,,
きこう,聞こう,,
翌々日,翌翌日,,
翌々年,翌翌年,,
あしもと,足もと,,
いけがき,生け垣,,
えいよう,栄養価,,
くりかえ,くり返,,
しはじめ,し始め,,
のきした,のき下,,
はあくき,把握器,,
ばいきん,ばい菌,,
はち植え,鉢植え,,
ふくそう,服そう,,
ふようど,腐葉土,,
まきがい,巻き貝,,
すいそう,水そう,,
みちぞい,道沿い,,
おうじる,応じる,,
かつやく,活やく,,
つぎつぎ,次つぎ,,
あつまる,集まる,,
はじめて,初めて,,
みずかき,水かき,,
ねん入り,念入り,,
冷ぞう庫,冷蔵庫,,
かのうせい,可能性,,
さいりよう,再利用,,
じんいてき,人為的,,
せんめんき,洗面器,,
だっしめん,脱脂綿,,
ばいようど,培養土,,
びせいぶつ,微生物,,
ふしょくふ,不織布,,
ぼうさりん,防砂林,,
ほれいざい,保冷剤,,
れいぞうこ,冷蔵庫,,
間引きする,間引く,,
きゅうばん,吸ばん,,
えんとうけい,円筒形,,
かんれいしゃ,寒冷紗,,
けしょうひん,化粧品,,
じゅせいらん,受精卵,,
ぞうきばやし,雑木林,,
ぼうふうりん,防風林,,
ろうはいぶつ,老廃物,,
間引きをする,間引く,,
,〇型,,
,下旬,,
,上旬,,
,前蛹,,
,対応,,
,中旬,,
,飛ば,,
,飛べ,,
,肉眼,,
,蛹化,,
,蛹室,,
,ろ過,,
,愛玩,,
,愛護,,
,愛情,,
,以降,,
,囲む,,
,意識,,
,移入,,
,運営,,
,衛生,,
,円網,,
,煙幕,,
,縁側,,
,縁日,,
,縁日,,
,塩素,,
,欧米,,
,屋敷,,
,夏至,,
,家畜,,
,花柄,,
,花房,,
,解消,,
,解凍,,
,回収,,
,快活,,
,灰色,,
,確認,,
,確認,,
,確立,,
,覚悟,,
,滑空,,
,滑石,,
,冠羽,,
,干潟,,
,感染,,
,汗腺,,
,監修,,
,鑑札,,
,寄生,,
,義務,,
,蟻酸,,
,逆流,,
,休診,,
,吸着,,
,急激,,
,救助,,
,給餌,,
,去勢,,
,巨大,,
,許可,,
,胸部,,
,興味,,
,筋肉,,
,近郊,,
,苦情,,
,駆除,,
,形態,,
,警戒,,
,警察,,
,芸術,,
,結婚,,
,検便,,
,原則,,
,幻覚,,
,個眼,,
,個性,,
,交互,,
,交尾,,
,効果,,
,効率,,
,厚紙,,
,厚紙,,
,厚手,,
,構造,,
,購入,,
,酵母,,
,鉱物,,
,告げ,,
,骨格,,
,骨折,,
,困難,,
,再生,,
,災害,,
,細胞,,
,細粒,,
,錯覚,,
,桜色,,
,撮影,,
,殺菌,,
,殺虫,,
,雑食,,
,産卵,,
,酸性,,
,酸素,,
,酸味,,
,刺身,,
,刺胞,,
,姿勢,,
,市販,,
,指導,,
,支え,,
,支柱,,
,施設,,
,死亡,,
,糸腺,,
,糸疣,,
,視界,,
,雌雄,,
,飼料,,
,歯舌,,
,事故,,
,示す,,
,識別,,
,執筆,,
,湿気,,
,湿地,,
,若葉,,
,主張,,
,手術,,
,手段,,
,朱色,,
,狩り,,
,狩猟,,
,受粉,,
,寿命,,
,樹木,,
,周囲,,
,修正,,
,習性,,
,臭腺,,
,住居,,
,住宅,,
,充血,,
,循環,,
,処置,,
,処理,,
,除角,,
,小型,,
,小柄,,
,焼酎,,
,症状,,
,障害,,
,上質,,
,上昇,,
,上唇,,
,上端,,
,常温,,
,蒸散,,
,蒸発,,
,錠剤,,
,色素,,
,触角,,
,触肢,,
,触手,,
,食欲,,
,尻剣,,
,信頼,,
,心臓,,
,振動,,
,新鮮,,
,神経,,
,神聖,,
,診る,,
,診る,,
,診察,,
,診断,,
,人畜,,
,酢酸,,
,図鑑,,
,垂直,,
,水質,,
,性格,,
,性質,,
,成熟,,
,整備,,
,正確,,
,正常,,
,清潔,,
,生態,,
,精子,,
,製品,,
,責任,,
,接近,,
,接種,,
,接触,,
,設置,,
,絶滅,,
,先端,,
,戦士,,
,浅瀬,,
,染料,,
,繊維,,
,前蛹,,
,祖先,,
,素材,,
,素手,,
,素直,,
,双葉,,
,想像,,
,藻類,,
,装置,,
,装着,,
,増幅,,
,側枝,,
,対称,,
,対象,,
,退化,,
,台座,,
,大型,,
,脱走,,
,脱皮,,
,単眼,,
,淡水,,
,誕生,,
,断面,,
,暖房,,
,段差,,
,地域,,
,稚貝,,
,稚魚,,
,蓄犬,,
,窒素,,
,窒素,,
,中毒,,
,注射,,
,懲役,,
,聴覚,,
,腸炎,,
,直接,,
,痛い,,
,通販,,
,潰瘍,,
,停電,,
,堤防,,
,定規,,
,提出,,
,摘心,,
,適す,,
,適温,,
,適切,,
,適度,,
,適当,,
,天蚕,,
,展脚,,
,展示,,
,展足,,
,展翅,,
,転覆,,
,点検,,
,伝染,,
,電源,,
,渡来,,
,土砂,,
,冬眠,,
,糖分,,
,陶器,,
,瞳孔,,
,得る,,
,得意,,
,日没,,
,粘膜,,
,濃度,,
,能力,,
,派手,,
,肺炎,,
,媒介,,
,鉢穴,,
,罰金,,
,判断,,
,判定,,
,反射,,
,斑点,,
,犯罪,,
,犯人,,
,繁殖,,
,頒布,,
,比率,,
,皮脂,,
,肥満,,
,被害,,
,被毛,,
,費用,,
,避妊,,
,飛び,,
,飛ぶ,,
,飛ぼ,,
,美術,,
,表情,,
,貧血,,
,貧乏,,
,不妊,,
,付属,,
,腐敗,,
,腹脚,,
,腹足,,
,腹部,,
,複眼,,
,複数,,
,分解,,
,分担,,
,分泌,,
,分布,,
,粉末,,
,変態,,
,片手,,
,保温,,
,保管,,
,保健,,
,捕食,,
,補給,,
,補助,,
,募集,,
,放浪,,
,法律,,
,豊か,,
,防止,,
,防腐,,
,本能,,
,麻薬,,
,末端,,
,未熟,,
,密集,,
,密閉,,
,迷子,,
,迷路,,
,免疫,,
,綿毛,,
,茂み,,
,毛布,,
,網膜,,
,予防,,
,幼魚,,
,幼生,,
,幼体,,
,容器,,
,葉巻,,
,葉柄,,
,葉脈,,
,養殖,,
,裸地,,
,立派,,
,冷凍,,
,冷房,,
,歴史,,
,連絡,,
,老熟,,
,剪定,,
,嗅覚,,
,彗星,,
,徘徊,,
,翅芽,,
,脛節,,
,蛹化,,
,蛹室,,
,鋏角,,
穴,あな,,
壁,かべ,,
牙,きば,,
柵,さく,,
縞,しま,,
釣,つる,,
跳,とぶ,,
泥,どろ,,
謎,なぞ,,
塗,ぬる,,
端,はし,,
翅,はね,,
幅,はば,,
匹,ひき,,
縁,ふち,,
糞,ふん,,
棒,ぼう,,
他,ほか,,
巻,まく,,
蜜,みつ,,
呼,よぶ,,
罠,わな,,
れい,●齢,,
埋め,うめ,,
エサ,えさ,,
雄花,お花,,
かび,カビ,,
かり,狩り,,
きき,聞き,,
こつ,コツ,,
付く,つく,,
付け,つけ,,
つげ,告げ,,
詰ま,つま,,
詰め,つめ,,
逃げ,にげ,,
皮膚,皮ふ,,
ふか,ふ化,,
孵化,ふ化,,
減る,へる,,
ほほ,ほお,,
ほご,保護,,
掘る,ほる,,
雌花,め花,,
良い,よい,,
除け,よけ,,
寄せ,よせ,,
わら,ワラ,,
やね,屋根,,
むれ,群れ,,
きめ,決め,,
すき,好き,,
し方,仕方,,
濾過,若い,,
うけ,受け,,
うえ,植え,,
ま水,真水,,
活か,生か,,
たす,足す,,
体形,体型,,
まつ,待つ,,
はで,派手,,
きく,聞く,,
きけ,聞け,,
くる,来る,,
あしゅ,亜種,,
いこう,以降,,
いどう,移動,,
いのこ,居残,,
えらぶ,選ぶ,,
おもに,主に,,
海ひん,海浜,,
かたま,固ま,,
かふん,花粉,,
きけん,危険,,
きせい,寄生,,
きほん,基本,,
きんし,禁止,,
げき的,劇的,,
こうび,交尾,,
こたい,個体,,
こたい,個体,,
このみ,好み,,
こん虫,昆虫,,
ようか,蛹化,,
さんそ,酸素,,
しいく,飼育,,
しせい,姿勢,,
しっけ,湿気,,
しつど,湿度,,
しつ度,湿度,,
しはん,市販,,
じゅひ,樹皮,,
ずかん,図鑑,,
正かい,正解,,
せい力,勢力,,
せなか,背中,,
体えき,体液,,
だいざ,台座,,
だっぴ,脱皮,,
ちいき,地域,,
ちいき,地域,,
地いき,地域,,
ていど,程度,,
てきす,適す,,
てきど,適度,,
とっき,突起,,
なやむ,悩む,,
はかせ,博士,,
はまき,葉巻,,
はんい,範囲,,
ひさく,秘策,,
ふくぶ,腹部,,
ぶんぷ,分布,,
へんい,変異,,
ぼうし,防止,,
ほうふ,豊富,,
ほかん,保管,,
ほぞん,保存,,
まいこ,舞妓,,
ようき,容器,,
りっぱ,立派,,
わかい,若い,,
わかば,若葉,,
わるい,悪い,,
くわえ,加え,,
はい色,灰色,,
かかわ,関わ,,
あぶな,危な,,
きけん,危険,,
きけん,危険,,
きろく,記録,,
記ろく,記録,,
にが手,苦手,,
もとの,元の,,
うしろ,後ろ,,
このま,好ま,,
このむ,好む,,
このめ,好め,,
つかう,使う,,
しせい,姿勢,,
ささえ,支え,,
わかい,若い,,
おもな,主な,,
まわり,周り,,
新せん,新鮮,,
水てき,水滴,,
先たん,先端,,
あさい,浅い,,
せんい,繊維,,
えらば,選ば,,
えらび,選び,,
えらべ,選べ,,
そうち,装置,,
ちっ素,窒素,,
ちっ素,窒素,,
そそぐ,注ぐ,,
とおる,通る,,
ていど,程度,,
おなじ,同じ,,
とくに,特に,,
はん点,斑点,,
つかれ,疲れ,,
ほかん,保管,,
あるく,歩く,,
つつむ,包む,,
はなす,放す,,
ゆたか,豊か,,
めやす,目安,,
次の年,翌年,,
えいぞう,映像,,
えっとう,越冬,,
かいせつ,解説,,
かいひん,海浜,,
かんさつ,観察,,
かんだん,寒暖,,
きずぐち,傷口,,
きちょう,貴重,,
きょうぶ,胸部,,
きょだい,巨大,,
げきてき,劇的,,
げんいん,原因,,
こうかん,交換,,
こうざつ,交雑,,
こうぞう,構造,,
こうたく,光沢,,
こきゅう,呼吸,,
さいせい,再生,,
さいばい,栽培,,
ざっきん,雑菌,,
ざっそう,雑草,,
ようしつ,蛹室,,
さんらん,産卵,,
しきさい,色彩,,
じっさい,実際,,
じゅえき,樹液,,
じゅもく,樹木,,
じゅんび,準備,,
しんどう,振動,,
すなはま,砂浜,,
けいせつ,脛節,,
せいかい,正解,,
せいけつ,清潔,,
せいたい,生態,,
せきにん,責任,,
ぜっこう,絶好,,
ぜったい,絶対,,
せんたん,先端,,
せんもん,専門,,
せんよう,専用,,
たいえき,体液,,
だんかい,段階,,
だんぼう,暖房,,
だんめん,断面,,
ちょうさ,調査,,
ちりょう,治療,,
てきおん,適温,,
てきせつ,適切,,
てんさん,天蚕,,
どくとく,独特,,
なっとう,納豆,,
にくがん,肉眼,,
にちぼつ,日没,,
にんじゃ,忍者,,
はっこう,発酵,,
はんのう,反応,,
はんばい,販売,,
ひりょう,肥料,,
へんたい,変態,,
ほうもん,訪問,,
ほきゅう,補給,,
ぜんよう,前蛹,,
まったん,末端,,
もうどく,猛毒,,
れいぼう,冷房,,
いとなみ,営み,,
えきたい,液体,,
えっとう,越冬,,
おうふく,往復,,
あたため,温め,,
かくべつ,格別,,
かくじつ,確実,,
けいたい,携帯,,
げんざい,現在,,
こうざつ,交雑,,
おこなう,行う,,
もっとも,最も,,
たいへん,大変,,
だんかい,段階,,
あつりょく,圧力,,
かいしゅう,回収,,
かんきょう,環境,,
かんちょう,干潮,,
げんしょう,減少,,
こうちゅう,甲虫,,
こんちゅう,昆虫,,
さいしゅう,採集,,
しゅうかく,収穫,,
しゅうかく,臭角,,
じゅみょう,寿命,,
じょうおん,常温,,
しょうかい,紹介,,
じょうけん,条件,,
じょうしつ,上質,,
じょうほう,情報,,
しょっかく,触覚,,
しんにゅう,侵入,,
せいりょく,勢力,,
たんじょう,誕生,,
ちょくせつ,直接,,
つうしょう,通称,,
どうしょく,銅色,,
とうちゃく,到着,,
とくちょう,特長,,
はいにゅう,胚乳,,
はんしょく,繁殖,,
まんちょう,満潮,,
ようちゅう,幼虫,,
ようみゃく,葉脈,,
ろうじゅく,老熟,,
あつりょく,圧力,,
かんしょう,観賞,,
きんきゅう,緊急,,
じょうけん,条件,,
たんじょう,誕生,,
はんしょく,繁殖,,
じょうしょう,上昇,,
しょくぎょう,職業,,
きゅうしゅう,吸収,,
,々,,
,背,,
,製,,
,胃,,
,割,,
,株,,
,缶,,
,剣,,
,骨,,
,際,,
,床,,
,沼,,
,針,,
,舌,,
,腸,,
,筒,,
,胴,,
,毒,,
,尾,,
,布,,
,弁,,
,穂,,
,房,,
,脈,,
,鳴,,
,麺,,
,枠,,
め,眼,,
葯,葯,,
はち,鉢,,
たね,種,,
つの,角,,
どう,胴,,
どく,毒,,
はら,腹,,
アメ,飴,,
おく,奥,,
なに,何,,
ゆか,床,,
はち,鉢,,
ふで,筆,,
ぬの,布,,
はら,腹,,
はら,腹,,
まく,膜,,
しゅん,旬,,
たまご,卵,,
むかし,昔,,
あいだ,間,,
かたち,形,,
じょう,状,,
からだ,体,,
むらさき,柴,,
々,,,
脚,,,
個,,,
込,,,
頃,,,
咲,,,
避,,,
探,,,
湿,,,
保,,,
違,,,
溶,,,
吹,,,
増,,,
防,,,
再,,,
刺,,,
暮ら,,,
越え,,,
超え,,,
差さ,,,
耐え,,,
同士,,,
越し,,,
差し,,,
差す,,,
差せ,,,
濃い,,,
濃く,,,
閉ま,,,
差そう,,,